Modelo,Coef_FDS,SE,Efecto_%,p_value,R2,R2_adj,N,Significativo
M1_base,-0.41891198246196804,0.02755424665588374,-34.22379126804418,3.3689867736707655e-52,0.7197010759589066,0.717819875126416,451,Si
M2_rezago,-0.411497330878621,0.02447538837630904,-33.73427102951386,1.9699514352964988e-63,0.7404832671975686,0.738155762867502,451,Si
M3_btc,-0.4189119824619686,0.027554246655883748,-34.22379126804421,3.368986773669996e-52,0.7197010759589066,0.717819875126416,451,Si
M4_shocks,-0.4125997000132904,0.02824493230787285,-33.80728007496467,2.5003715645987935e-48,0.7243015554519499,0.7218289236622812,451,Si
M5_ef_mes,-0.4250447468710726,0.025491166983043205,-34.6259468367933,2.019055294943014e-62,0.7571686817242402,0.7493713458163029,451,Si
M6_completo,-0.40610179897460397,0.025374426752119345,-33.37576588145463,1.1910642518463998e-57,0.7441457903847204,0.7406883010655949,451,Si
M7_HAC,-0.41891198246196804,0.02089123756096147,-34.22379126804418,1.9372624760641173e-89,0.7197010759589066,0.717819875126416,451,Si
M8_ratio,-0.03543135224116314,0.021045024880844858,-3.4811009983162555,0.09225947335272093,0.5111869843451802,0.5068030111106078,451,No
