segmento,volumen,ticket_mean,ticket_median,n_trans,n_traders,precio_mean,pct_volumen
mass,41113123.16428757,460.0996358907256,151.09002685546875,89357,3069,12.385892,6.175787431899574
profession,624601550.7561169,1131.1474993047914,305.49000549316406,552184,445,12.735663,93.82421256810044
