userNo,cluster_asignado,silhouette_individual,ratio_ambiguedad,en_frontera
461ae4417c244f6b9b9fd276ec0e933f,0,0.7861177304074694,0.17380906666253743,False
s0004ce7fdab13252b20fa82cdda1db90,0,0.8748428654309321,0.07214656509368206,False
s0008988a6f483975b6c2cb9c608eb49b,0,0.864342474201383,0.07777869816761696,False
s0054e71d8f863ef59b42f2cfbe623d1a,0,0.8897575005212887,0.04713954500298547,False
s005c088379343be8a0b8f55929ad8324,0,0.7768227283047165,0.2020032226829956,False
s006e95696e69349f9e88c8cad07caf75,0,0.8905877310344956,0.04954175880425521,False
s00bec260018634e7ba04a46ad8250c27,0,0.8902535973207829,0.04395585631184062,False
s00c8a65e147b3a77b8218072d8166417,0,0.8971584264369443,0.03704740429851108,False
s00d9a807c1343e90b7afa0ec8f0e4644,0,0.8960703545002945,0.03934137510925323,False
s00e13eca050935bb93c6a206495c6e69,0,0.8756379644002987,0.07232183096358741,False
s00e562531aea3e75afcf4e924e79e27e,0,0.8175499503097584,0.13322579076520893,False
s0106a9e1da9b307095cc3773cc50f55a,0,0.8953376895849278,0.03472062913409243,False
s0119d3ae19b832619f554631e41c9d71,0,0.8968106214666295,0.037409648780457314,False
s012eb03055943fda957207dfe92942a1,0,0.8866689614861474,0.05309043583945648,False
s012fab883ca73e73b43aaec3cec90d6d,0,0.8533740328950911,0.10346171779694517,False
s014c3bd26ce43de4b6b843ac8a87435f,0,0.8905564574218885,0.044278198233262844,False
s015ca2bdd0183aa7b0c7cd2c39c2bb5c,0,0.8459261477479958,0.0959080019897952,False
s01a7029237073ee8ad0381f9e0b40389,0,0.8309732293795979,0.1352846767261349,False
s01d9e37b92b23d54b705a5241efaeefb,0,0.8925120108839187,0.041874125851256244,False
s01e739ccaed33861aa9e9c0f39b25712,0,0.8969361338949036,0.03865964864652748,False
s01f973d9821a388da9b9de164335de67,0,0.8592874058273745,0.09029384355002223,False
s020113a4b9003776a2d0a2a6198a93ba,0,0.8951480101923115,0.041432480094438714,False
s020cf0c01010380ca89671fc7a7c487a,0,0.8939571218005473,0.04444055631940619,False
s0244886732d338cea76142bb0c9944d3,0,0.8953000128789662,0.04297006725801717,False
s0252cf234dbe30d79f708a4655aca9a6,0,0.8864565185096144,0.048690398863592436,False
s02600791d41b3b04bb1b2413bfae41cd,0,0.8361835308692276,0.1242653525935518,False
s0264ff1a9cd5390badc353c68fc3c623,0,0.8589976018860667,0.08608539724253716,False
s0268b85e6fd53499a313833ee900436f,0,0.6553641242339906,0.3436455596096687,False
s027ba514af1233178e8437cf0139a8e8,0,0.6367722511235374,0.34996176254241584,False
s02848eebb06f3972a79659ce6aa7c4de,0,0.8794838125577926,0.062375981623097106,False
s029fc1353366358e806ce573f430e34e,1,0.3613928985464212,0.34366668608490253,False
s02ba807b23ad3262a65749499cd14b7d,0,0.6629847285793649,0.33462560305969014,False
s02d041136efe3c388eebfaaf4a5f7ffe,0,0.8571296653872088,0.09852977506482073,False
s02d308a5dd83369c8696cbb09b55ddab,0,0.8908683457924371,0.05023273056063824,False
s030867dfa607310199894e3207574997,0,0.8951249293415339,0.04181828307971504,False
s031fd3abf07135369ec20652dbe87ab7,0,0.8908784824490003,0.04667296990253329,False
s0329f5d9c75b3d8a91ad358fb457dc37,0,0.8008062293688011,0.16139175177358214,False
