segmento,pct_removido,n_removido,silhouette,ari_vs_base
todos,0,0,0.8207486682030113,1.0
todos,1,33,0.8260207510210981,0.9893410330741222
todos,2,66,0.8269930513480732,0.9806742248547634
todos,5,164,0.8434729395830568,1.0
todos,10,327,0.4295002140380713,0.07397209784977705
