dia_nombre,ticket_mean,ticket_std,ticket_median,vol_mean,trans_mean,ticket_calc,var_pct
Monday,1053.4619019060863,188.21871380203697,1024.3762415956173,1666689.3197813767,1526.3076923076924,1091.9746576533564,6.495893787336349
Tuesday,1063.9641926279887,217.29316776122852,1058.7282081994167,1703136.26384427,1535.753846153846,1108.9903945932597,7.557584613762791
Wednesday,1029.8299770315186,209.96241627836096,1013.0523579218054,1620440.5407176092,1505.8307692307692,1076.1106585339512,4.106910420326448
Thursday,1038.1334941721786,198.7271389817931,1020.3406599999219,1565975.10326632,1448.1846153846154,1081.3366518538944,4.946324240487443
Friday,1026.546849415302,188.60971223610932,1035.6731842546628,1575638.9056622386,1478.1875,1065.9262817891768,3.7750145926042755
Saturday,910.5845380349929,152.5400850916539,894.645139427212,1263183.7619014084,1340.53125,942.3008690781423,-7.947772889075678
Sunday,798.3373139068104,153.28252710286696,785.1134385689809,904286.6156516969,1095.28125,825.6204656582014,-19.294997157033976
